REGION ACTIVITE;"Ensemble des spécialités d'exercice";"Spécialistes";"Anatomie et cytologie pathologiques";"Anesthésie-réanimation";"Biologie médicale";"Cardiologie et maladies vasculaires";"Chirurgie générale";"Chirurgie maxillo-faciale et stomatologie";"Chirurgie orthopédique et traumatologie";"Chirurgie infantile";"Chirurgie plastique reconstructrice et esthétique";"Chirurgie thoracique et cardio-vasculaire";"Chirurgie urologique";"Chirurgie vasculaire";"Chirurgie viscérale et digestive";"Dermatologie et vénéréologie";"Endocrinologie et métabolisme";"Génétique médicale";"Gériatrie";"Gynécologie médicale";"Gynécologie-obstétrique";"Hématologie";"Gastro-entérologie et hépatologie";"Médecine du travail";"Médecine interne";"Médecine nucléaire";"Médecine physique et réadaptation";"Néphrologie";"Neuro-chirurgie";"Neurologie";"O.R.L et chirurgie cervico faciale";"Oncologie option médicale";"Ophtalmologie";"Pédiatrie";"Pneumologie";"Psychiatrie";"Radio-diagnostic et imagerie médicale";"Radio-thérapie";"Réanimation médicale";"Recherche médicale";"Rhumatologie";"Santé publique et médecine sociale";"Généralistes";"Médecine générale"
"FRANCE ENTIERE";311575;188027;2405;13975;3196;12256;5008;1944;5901;472;1962;740;2701;1056;1600;5634;2626;273;2253;4159;7346;784;6353;5905;2833;1281;2730;2560;791;3410;5278;1358;10053;10615;4351;19674;26722;1726;438;13;3764;1881;123548;123548
"FRANCE Métropolitaine";305014;184655;2372;13653;3125;12074;4917;1917;5810;455;1921;723;2644;1036;1571;5551;2574;267;2230;4090;7115;777;6266;5824;2772;1266;2672;2474;771;3352;5198;1347;9879;10302;4287;19378;26369;1705;426;13;3722;1810;120359;120359
"DOM-COM";6561;3372;33;322;71;182;91;27;91;17;41;17;57;20;29;83;52;6;23;69;231;7;87;81;61;15;58;86;20;58;80;11;174;313;64;296;353;21;12;0;42;71;3189;3189
"Grand Est";24178;14417;132;1239;236;1072;459;65;503;37;126;55;232;74;147;422;162;25;190;249;676;41;518;514;259;95;264;190;62;228;366;101;620;807;349;1297;1999;129;52;1;272;152;9761;9761
"Nouvelle Aquitaine";27810;16105;193;1150;271;1256;424;136;507;41;129;72;236;103;142;481;196;15;152;374;501;70;562;455;225;94;228;185;56;284;428;111;892;661;346;1627;2926;159;24;0;251;142;11705;11705
"Auvergne-Rhône-Alpes";37217;22160;339;1842;324;1281;601;245;747;58;203;95;335;159;143;560;306;38;265;426;890;96;711;764;310;133;328;309;122;404;527;132;1175;1174;527;2343;3287;209;29;3;491;229;15057;15057
"Bourgogne-Franche-Comté";12066;7188;121;503;114;357;184;50;236;17;59;31;115;43;105;181;79;10;92;89;266;27;224;209;112;103;84;76;37;139;170;69;300;318;169;686;1534;68;18;0;116;77;4878;4878
"Bretagne";14048;7934;82;631;138;488;169;34;247;26;46;43;147;48;100;214;83;10;95;165;308;41;336;268;114;62;175;106;24;154;269;76;428;419;211;767;1056;103;13;0;164;74;6114;6114
"Centre-Val de Loire";9127;5312;55;389;102;332;151;46;171;11;35;13;80;40;45;142;71;10;97;93;220;28;177;195;94;53;65;90;24;77;143;29;242;290;122;514;840;55;14;0;115;42;3815;3815
"Corse";1272;687;4;50;12;56;13;9;23;2;8;0;15;3;9;15;8;1;3;13;19;0;31;24;8;5;12;8;5;10;21;4;44;34;20;69;111;4;1;0;9;4;585;585
"Guadeloupe";1288;677;9;46;17;46;16;2;23;3;8;1;15;7;9;13;11;2;6;20;46;1;21;17;9;4;11;20;8;14;19;2;45;53;10;53;61;6;4;0;10;9;611;611
"Guyane";638;263;3;26;8;7;14;0;7;0;4;0;4;0;5;11;0;0;1;5;32;0;5;5;8;0;3;8;1;5;3;2;10;33;3;16;20;0;2;0;0;12;375;375
"Ile-de-France";69020;45569;521;2703;867;2861;1152;543;1260;106;669;157;417;144;291;1715;744;80;631;1415;1701;215;1460;1430;853;263;475;544;166;880;1434;397;2680;3210;901;5844;4757;309;136;7;1074;557;23451;23451
"La Réunion";3156;1680;14;176;34;95;29;21;32;9;16;14;29;11;12;35;30;3;11;25;116;5;43;39;27;6;28;41;6;27;42;4;74;161;36;144;218;11;4;0;14;38;1476;1476
"Occitanie";28319;16385;215;1351;282;994;399;184;552;33;137;81;266;80;156;491;308;17;180;331;556;73;566;466;231;122;313;245;85;295;464;104;833;859;399;1696;2271;169;40;0;376;165;11934;11934
"Martinique";1271;667;7;65;11;32;26;4;27;5;12;2;9;2;3;24;11;1;5;17;26;1;16;20;11;5;16;15;5;12;15;3;44;49;12;74;46;4;1;0;18;11;604;604
"Mayotte";208;85;0;9;1;2;6;0;2;0;1;0;0;0;0;0;0;0;0;2;11;0;2;0;6;0;0;2;0;0;1;0;1;17;3;9;8;0;1;0;0;1;123;123
"Hauts de France";24468;14237;152;1051;208;1137;471;157;454;30;120;58;250;71;114;331;199;16;191;314;567;61;550;450;162;129;241;196;56;314;329;77;679;801;450;1217;2051;228;35;0;221;99;10231;10231
"Normandie";13433;7795;82;606;115;439;256;117;246;22;43;29;119;62;71;190;90;6;108;146;319;25;260;247;96;40;96;110;37;163;276;52;362;409;209;684;1369;62;11;0;156;65;5638;5638
"Pays de la Loire";14396;8051;112;661;145;472;181;103;237;16;68;31;114;67;88;204;84;13;100;121;314;43;272;327;110;70;112;110;37;128;205;61;643;362;170;795;1188;56;25;0;147;59;6345;6345
"Provence-Alpes-Côte d’Azur";29660;18815;364;1477;311;1329;457;228;627;56;278;58;318;142;160;605;244;26;126;354;778;57;599;475;198;97;279;305;60;276;566;134;981;958;414;1839;2980;154;28;2;330;145;10845;10845
"";256;197;3;80;2;5;6;1;4;0;0;2;1;0;0;1;0;0;1;1;3;0;2;0;2;1;0;0;0;1;2;0;16;8;3;3;45;2;0;0;2;0;59;59
